H3_int_index_8,count,alpha_num,label
614953741111525375,1442,888c12b5c3fffff,RB_berth_0
614953740937461759,131,888c12b51dfffff,RB_berth_0
614953740708872191,68751,888c12b443fffff,RB_berth_0
614953741044416511,287,888c12b583fffff,RB_berth_0
614953741145079807,174,888c12b5e3fffff,RB_berth_0
614953741136691199,677,888c12b5dbfffff,RB_berth_0
614953741346406399,11921,888c12b6a3fffff,RB_berth_0
614953741350600703,163695,888c12b6a7fffff,RB_berth_0
614953740820021247,3986,888c12b4adfffff,RB_berth_0
614953741067485183,1676,888c12b599fffff,RB_berth_0
614953737259057151,118,888c12a769fffff,RB_berth_0
614953741128302591,951,888c12b5d3fffff,RB_berth_0
614953740910198783,324,888c12b503fffff,RB_berth_0
614953740658540543,5566,888c12b413fffff,RB_berth_0
614953740723552255,35304,888c12b451fffff,RB_berth_0
614953737229697023,160,888c12a74dfffff,RB_berth_0
614953741086359551,139,888c12b5abfffff,RB_berth_0
614953740887130111,983,888c12b4edfffff,RB_berth_0
614953741126205439,517,888c12b5d1fffff,RB_berth_0
614953741361086463,18720,888c12b6b1fffff,RB_berth_0
614953740692094975,3708,888c12b433fffff,RB_berth_0
614953741138788351,315,888c12b5ddfffff,RB_berth_0
614953740669026303,381,888c12b41dfffff,RB_berth_0
614953741153468415,263,888c12b5ebfffff,RB_berth_0
614953741113622527,235,888c12b5c5fffff,RB_berth_0
614953740729843711,73634,888c12b457fffff,RB_berth_0
614953740849381375,101757,888c12b4c9fffff,RB_berth_0
614953741119913983,702,888c12b5cbfffff,RB_berth_0
614953741054902271,2010,888c12b58dfffff,RB_berth_0
614953741046513663,511,888c12b585fffff,RB_berth_0
614953740811632639,982,888c12b4a5fffff,RB_berth_0
614953741115719679,1577,888c12b5c7fffff,RB_berth_0
614953741373669375,517,888c12b6bdfffff,RB_berth_0
614953740885032959,284,888c12b4ebfffff,RB_berth_0
614953741132496895,350,888c12b5d7fffff,RB_berth_0
614953740926975999,1250,888c12b513fffff,RB_berth_0
614953741042319359,399,888c12b581fffff,RB_berth_0
614953740882935807,2997,888c12b4e9fffff,RB_berth_0
614953741130399743,131,888c12b5d5fffff,RB_berth_0
614953741096845311,103,888c12b5b5fffff,RB_berth_0
614953740648054783,69526,888c12b409fffff,RB_berth_0
614953740727746559,79691,888c12b455fffff,RB_berth_0
614953741348503551,166922,888c12b6a5fffff,RB_berth_0
614953740656443391,446,888c12b411fffff,RB_berth_0
614953737221308415,129,888c12a745fffff,RB_berth_0
614953741069582335,284,888c12b59bfffff,RB_berth_0
614953741105233919,243,888c12b5bdfffff,RB_berth_0
614953741052805119,363,888c12b58bfffff,RB_berth_0
614953740700483583,1236,888c12b43bfffff,RB_berth_0
614953740874547199,302,888c12b4e1fffff,RB_berth_0
614953740650151935,433,888c12b40bfffff,RB_berth_0
614953741071679487,198,888c12b59dfffff,RB_berth_0
614953740664831999,174440,888c12b419fffff,RB_berth_0
614953740931170303,320,888c12b517fffff,RB_berth_0
614953741050707967,388,888c12b589fffff,RB_berth_0
614953741365280767,50867,888c12b6b5fffff,RB_berth_0
614953740847284223,1770,888c12b4c7fffff,RB_berth_0
614953740878741503,805,888c12b4e5fffff,RB_berth_0
614953740966821887,151,888c12b539fffff,RB_berth_0
614953741367377919,14014,888c12b6b7fffff,RB_berth_0
614953737225502719,161,888c12a749fffff,RB_berth_0
614953740666929151,462433,888c12b41bfffff,RB_berth_0
614953740786466815,2666,888c12b48dfffff,RB_berth_0
614953741048610815,219,888c12b587fffff,RB_berth_0
614953741077970943,176,888c12b5a3fffff,RB_berth_0
614953740696289279,1489,888c12b437fffff,RB_berth_0
614953741101039615,121,888c12b5b9fffff,RB_berth_0
614953741134594047,2621,888c12b5d9fffff,RB_berth_0
614953740918587391,107,888c12b50bfffff,RB_berth_0
614953740853575679,40205,888c12b4cdfffff,RB_berth_0
614953740929073151,131,888c12b515fffff,RB_berth_0
